"model","iteration","corr_iter","MAF","gen"
"GB",10,0.408886955513823,0.05,"all"
"GBLUP",1,0.237669638329064,0.05,"all"
"GBLUP",2,0.237669638329064,0.05,"all"
"GBLUP",3,0.237669638329064,0.05,"all"
"GBLUP",4,0.237669638329064,0.05,"all"
"GBLUP",5,0.237669638329064,0.05,"all"
"GBLUP",6,0.237669638329064,0.05,"all"
"GBLUP",7,0.237669638329064,0.05,"all"
"GBLUP",8,0.237669638329064,0.05,"all"
"GBLUP",9,0.237669638329064,0.05,"all"
"GBLUP",10,0.237669638329064,0.05,"all"
"LASSO",1,0.24347584249902,0.05,"all"
"LASSO",2,0.247448759795633,0.05,"all"
"LASSO",3,0.246147078784842,0.05,"all"
"LASSO",4,0.246023166947615,0.05,"all"
"LASSO",5,0.246239983642989,0.05,"all"
"LASSO",6,0.246705838529692,0.05,"all"
"LASSO",7,0.244640822163737,0.05,"all"
"LASSO",8,0.246407194313939,0.05,"all"
"LASSO",9,0.244373683382878,0.05,"all"
"LASSO",10,0.24547677003501,0.05,"all"
"LR",1,0.354279591171491,0.05,"all"
"LR",2,0.35673445345494,0.05,"all"
"LR",3,0.351685747306868,0.05,"all"
"LR",4,0.348557364910321,0.05,"all"
"LR",5,0.356861684298991,0.05,"all"
"LR",6,0.350636880023684,0.05,"all"
"LR",7,0.353793108458588,0.05,"all"
"LR",8,0.353659016690871,0.05,"all"
"LR",9,0.354006235132562,0.05,"all"
"LR",10,0.358219874712636,0.05,"all"
"RF",1,0.270785888425699,0.05,"all"
"RF",2,0.274300360760627,0.05,"all"
"RF",3,0.282030292604256,0.05,"all"
"RF",4,0.271052755251743,0.05,"all"
"RF",5,0.26423408462138,0.05,"all"
"RF",6,0.256505756662034,0.05,"all"
"RF",7,0.266585497367359,0.05,"all"
"RF",8,0.266531759355293,0.05,"all"
"RF",9,0.271118291021803,0.05,"all"
"RF",10,0.277688212546911,0.05,"all"
"RKHS",1,0.253185003744304,0.05,"all"
"RKHS",2,0.253166737672979,0.05,"all"
"RKHS",3,0.251949296896451,0.05,"all"
"RKHS",4,0.25332852331781,0.05,"all"
"RKHS",5,0.252527290624875,0.05,"all"
"RKHS",6,0.257170208625447,0.05,"all"
"RKHS",7,0.254371496250977,0.05,"all"
"RKHS",8,0.25678273163984,0.05,"all"
"RKHS",9,0.253630807084055,0.05,"all"
"RKHS",10,0.253506389987427,0.05,"all"
