"model","iteration","corr_iter","MAF","gen"
"RF",1,0.286448361051182,0.005,"all"
"RF",2,0.274562289007794,0.005,"all"
"RF",3,0.276296347385177,0.005,"all"
"RF",4,0.267272780119418,0.005,"all"
"RF",5,0.277645315308142,0.005,"all"
"RF",6,0.275138835546858,0.005,"all"
"RF",7,0.283566021863559,0.005,"all"
"RF",8,0.278503050656586,0.005,"all"
"RF",9,0.278831644739067,0.005,"all"
"RF",10,0.271788856099596,0.005,"all"
"RKHS",1,0.260631969599642,0.005,"all"
"RKHS",2,0.262686936981961,0.005,"all"
"RKHS",3,0.261459700913769,0.005,"all"
"RKHS",4,0.258333988534289,0.005,"all"
"RKHS",5,0.259799533031357,0.005,"all"
"RKHS",6,0.261653179067379,0.005,"all"
"RKHS",7,0.260320609538208,0.005,"all"
"RKHS",8,0.263005552829962,0.005,"all"
"RKHS",9,0.257801559983773,0.005,"all"
"RKHS",10,0.262553325982382,0.005,"all"
"BB",1,0.224327637255345,0.01,"F2"
"BB",2,0.22594591535355,0.01,"F2"
"BB",3,0.224178089203841,0.01,"F2"
"BB",4,0.225881570240674,0.01,"F2"
"BB",5,0.222442433662569,0.01,"F2"
"BB",6,0.227047278324773,0.01,"F2"
"BB",7,0.228819150078819,0.01,"F2"
"BB",8,0.224849769649631,0.01,"F2"
"BB",9,0.228244942083686,0.01,"F2"
"BB",10,0.220015022025591,0.01,"F2"
"BRR",1,0.24208460554502,0.01,"F2"
"BRR",2,0.238518273973411,0.01,"F2"
"BRR",3,0.240508633647489,0.01,"F2"
"BRR",4,0.238220661091146,0.01,"F2"
"BRR",5,0.239979956172519,0.01,"F2"
"BRR",6,0.239150270681699,0.01,"F2"
"BRR",7,0.242039135641553,0.01,"F2"
"BRR",8,0.238700906382731,0.01,"F2"
"BRR",9,0.239339087045613,0.01,"F2"
"BRR",10,0.240259921419219,0.01,"F2"
"EGBLUP",1,0.239597763311097,0.01,"F2"
"EGBLUP",2,0.244244089181877,0.01,"F2"
